gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	logFC	pct_B1	pct_A1	comparison	target	direction
Dleu2	3.25661402183136e-120	11.587912475131	0.213	0	7.22479820743288e-116	11.587912475131	0.213	0	B1_vs_A1	vascular_gate	up_in_B1
Fgf12	1.40584092353113e-119	6.23674599757517	0.23	0.006	3.1188580888538e-115	6.23674599757517	0.23	0.006	B1_vs_A1	vascular_gate	up_in_B1
Rnasek	1.40696736263153e-117	6.88568541748347	0.236	0.01	3.12135709399804e-113	6.88568541748347	0.236	0.01	B1_vs_A1	vascular_gate	up_in_B1
Sgcz	1.93378835692104e-117	12.1766053566018	0.208	0	4.29010946982932e-113	12.1766053566018	0.208	0	B1_vs_A1	vascular_gate	up_in_B1
Ptprg	3.58840271203149e-117	3.89291710208543	0.534	0.266	7.96087141664185e-113	3.89291710208543	0.534	0.266	B1_vs_A1	vascular_gate	up_in_B1
Kif5a	4.40112381578642e-117	2.71501542009833	0.419	0.104	9.76389318532216e-113	2.71501542009833	0.419	0.104	B1_vs_A1	vascular_gate	up_in_B1
Vim	7.15392151486682e-117	-3.00957743596961	0.251	0.571	1.5870974880732e-112	-3.00957743596961	0.251	0.571	B1_vs_A1	vascular_gate	up_in_A1
Ifitm3	2.35529366946003e-116	-2.3545672603246	0.276	0.606	5.22521900569708e-112	-2.3545672603246	0.276	0.606	B1_vs_A1	vascular_gate	up_in_A1
Grin2b	7.80257444045985e-116	7.57510905409626	0.209	0.001	1.73100113961602e-111	7.57510905409626	0.209	0.001	B1_vs_A1	vascular_gate	up_in_B1
Micos13	1.35062514980125e-115	11.320768471616	0.205	0	2.99636189483408e-111	11.320768471616	0.205	0	B1_vs_A1	vascular_gate	up_in_B1
Nedd4l	1.54850801930897e-115	4.81495792981502	0.33	0.059	3.43536504083694e-111	4.81495792981502	0.33	0.059	B1_vs_A1	vascular_gate	up_in_B1
Slc7a5	3.19991630758643e-115	3.61282606750837	0.364	0.079	7.09901432838049e-111	3.61282606750837	0.364	0.079	B1_vs_A1	vascular_gate	up_in_B1
Pitpnc1	5.48773203655776e-115	3.75929970770344	0.442	0.145	1.21745335231034e-110	3.75929970770344	0.442	0.145	B1_vs_A1	vascular_gate	up_in_B1
Slc1a1	1.71764557303152e-114	4.57043699330975	0.257	0.019	3.81059670377043e-110	4.57043699330975	0.257	0.019	B1_vs_A1	vascular_gate	up_in_B1
Schip1	4.76906636417594e-114	6.34100822521137	0.257	0.021	1.05801737289243e-109	6.34100822521137	0.257	0.021	B1_vs_A1	vascular_gate	up_in_B1
mt-Nd4	5.02028875425469e-114	-1.0562601352219	0.998	0.999	1.1137510601314e-109	-1.0562601352219	0.998	0.999	B1_vs_A1	vascular_gate	up_in_A1
Tfrc	5.53116506292788e-113	3.70420128797699	0.335	0.062	1.22708896921055e-108	3.70420128797699	0.335	0.062	B1_vs_A1	vascular_gate	up_in_B1
Gria2	1.45774065533063e-112	6.20069952509712	0.206	0.002	3.23399764385101e-108	6.20069952509712	0.206	0.002	B1_vs_A1	vascular_gate	up_in_B1
Nav3	4.2398283481357e-112	4.23371692540533	0.266	0.025	9.40605919033904e-108	4.23371692540533	0.266	0.025	B1_vs_A1	vascular_gate	up_in_B1
Grm5	4.17863933882893e-111	6.80816005925552	0.202	0.001	9.27031137319198e-107	6.80816005925552	0.202	0.001	B1_vs_A1	vascular_gate	up_in_B1
Cadm1	5.62738666729697e-111	4.0638936171155	0.352	0.077	1.24843573213983e-106	4.0638936171155	0.352	0.077	B1_vs_A1	vascular_gate	up_in_B1
Mir99ahg	1.5186968424986e-110	12.1749456851301	0.196	0	3.36922894508314e-106	12.1749456851301	0.196	0	B1_vs_A1	vascular_gate	up_in_B1
Etl4	1.67914290089203e-110	4.1615213767979	0.357	0.082	3.72517852562898e-106	4.1615213767979	0.357	0.082	B1_vs_A1	vascular_gate	up_in_B1
Basp1	1.11484820808579e-109	3.79870344265487	0.277	0.032	2.47329074963832e-105	3.79870344265487	0.277	0.032	B1_vs_A1	vascular_gate	up_in_B1
Slc17a7	2.17348315629005e-109	5.64040283670621	0.214	0.006	4.82187238222947e-105	5.64040283670621	0.214	0.006	B1_vs_A1	vascular_gate	up_in_B1
Dnm1	6.20989890602983e-108	5.98538151468592	0.223	0.011	1.37766607230272e-103	5.98538151468592	0.223	0.011	B1_vs_A1	vascular_gate	up_in_B1
Scd2	1.0930234649455e-107	2.33828322117189	0.49	0.185	2.4248725569816e-103	2.33828322117189	0.49	0.185	B1_vs_A1	vascular_gate	up_in_B1
Slc39a10	1.78288331678316e-107	3.4707909838338	0.432	0.151	3.95532663828344e-103	3.4707909838338	0.432	0.151	B1_vs_A1	vascular_gate	up_in_B1
Ilrun	2.39990098202728e-107	11.0822071005291	0.191	0	5.32418032862752e-103	11.0822071005291	0.191	0	B1_vs_A1	vascular_gate	up_in_B1
Kcnd2	3.25021441961497e-107	6.3274985133714	0.204	0.004	7.2106006899158e-103	6.3274985133714	0.204	0.004	B1_vs_A1	vascular_gate	up_in_B1
Junb	3.86991177135137e-107	-4.4444388096289	0.099	0.426	8.585399264743e-103	-4.4444388096289	0.099	0.426	B1_vs_A1	vascular_gate	up_in_A1
Cspg5	6.07079957264891e-107	3.43420998828378	0.264	0.027	1.34680688519216e-102	3.43420998828378	0.264	0.027	B1_vs_A1	vascular_gate	up_in_B1
Mcc	7.66555348050118e-107	4.2125079711198	0.355	0.086	1.70060303964919e-102	4.2125079711198	0.355	0.086	B1_vs_A1	vascular_gate	up_in_B1
Igf1r	1.23049798955555e-106	3.55398006974804	0.533	0.288	2.72985978982898e-102	3.55398006974804	0.533	0.288	B1_vs_A1	vascular_gate	up_in_B1
Nrsn1	1.58817146383478e-106	4.2401119089328	0.23	0.013	3.52335839251745e-102	4.2401119089328	0.23	0.013	B1_vs_A1	vascular_gate	up_in_B1
1700020I14Rik	1.77417847819319e-106	-10.6551191756059	0	0.303	3.93601495387159e-102	-10.6551191756059	0	0.303	B1_vs_A1	vascular_gate	up_in_A1
2410015M20Rik	3.98362034234626e-106	-10.7135044051057	0	0.302	8.83766172949517e-102	-10.7135044051057	0	0.302	B1_vs_A1	vascular_gate	up_in_A1
Zswim6	1.5945720765586e-105	11.1067472941372	0.188	0	3.53755815184526e-101	11.1067472941372	0.188	0	B1_vs_A1	vascular_gate	up_in_B1
Cntnap2	7.13998643389881e-105	6.56187501002534	0.213	0.009	1.58400599036045e-100	6.56187501002534	0.213	0.009	B1_vs_A1	vascular_gate	up_in_B1
Cfh	1.01208525303275e-104	-3.68655683361229	0.101	0.432	2.24531113385316e-100	-3.68655683361229	0.101	0.432	B1_vs_A1	vascular_gate	up_in_A1
Ptprm	3.00215163898802e-104	3.91834023308062	0.458	0.192	6.66027341109492e-100	3.91834023308062	0.458	0.192	B1_vs_A1	vascular_gate	up_in_B1
Mtss2	1.04999634454182e-103	11.4954294225977	0.185	0	2.32941689036603e-99	11.4954294225977	0.185	0	B1_vs_A1	vascular_gate	up_in_B1
Scg3	1.38777106895092e-103	3.58373661039713	0.236	0.017	3.07877011646761e-99	3.58373661039713	0.236	0.017	B1_vs_A1	vascular_gate	up_in_B1
Atxn1	1.48638152391534e-103	3.81949176670975	0.406	0.134	3.29753741080618e-99	3.81949176670975	0.406	0.134	B1_vs_A1	vascular_gate	up_in_B1
